reason,tmdb_id,slug,score,movie_title,year_released,tmdb_title,tmdb_year,release_date,popularity,existing_slug
no_match,,mike-epps-presents-live-from-the-club-nokia,,Mike Epps Presents: Live from the Club Nokia,2010,,,,,
no_match,,1d-day,,1D Day,2013,,,,,
no_match,,good-witch-secrets-of-grey-house,,The Good Witch Secrets of Grey House,2016,,,,,
no_match,,palutenas-revolting-dinner,,Palutena's Revolting Dinner,2012,,,,,
no_match,,salad-fingers,,Salad Fingers,2004,,,,,
no_match,,youtube-poop-the-movie,,YouTube Poop: The Movie,2017,,,,,
no_match,,the-power-of-ninjitsu,,The Power of Ninjitsu,1988,,,,,
collision_existing,423156,sidekick,1.0002,Sidekick,2005,Sidekick,2016,2016-10-28,0.3097,sidekick-2016
no_match,,katharine-hepburn-as-joan-of-arc-in-technicolor-screen-test,,Katharine Hepburn as Joan of Arc in Technicolor Screen Test,1934,,,,,
no_match,,world-war-1-in-colour,,World War 1 in Colour,2003,,,,,
no_match,,sprite-between-2-worlds,,Sprite: Between 2 Worlds,1997,,,,,
no_match,,felicite-remix-1-billard-luxury-palace,,Félicité Remix #1: Billard Luxury Palace,2017,,,,,
no_match,,dolapo-is-fine,,Dọlápọ̀ Is Fine,2020,,,,,
no_match,,the-blue-elephant-part-2,,The Blue Elephant Part 2,2019,,,,,
no_match,,fire-emblem,,Fire Emblem,1995,,,,,
no_match,,leader-of-the-house-a-charles-manson-adolf-hitler-sitcom,,Leader of the House: A Charles Manson & Adolf Hitler Sitcom,2015,,,,,
no_match,,under-the-carp-banner,,Under the Carp Banner,1992,,,,,
no_match,,andy-warhol-1973,,Andy Warhol,1973,,,,,
no_match,,the-las-vegas-hillbillys,,The Las Vegas Hillbillys,1966,,,,,
no_match,,invention-for-destruction,,Invention for Destruction,1958,,,,,
collision_existing,294302,delivery-2014-1,1.2500,Delivery,2014,Delivery,2014,2014-09-16,0.0362,delivery-2014
no_match,,into-the-universe-with-stephen-hawking-2010,,Into the Universe with Stephen Hawking,2010,,,,,
no_match,,10-2,,10 дней до войны,,,,,,
no_match,,armed-dragon-fantasy-villgust,,Armed Dragon Fantasy Villgust,1993,,,,,
no_match,,love-lies-and-murder,,"Love, Lies and Murder",1991,,,,,
no_match,,the-worm-has-turned,,The Worm Has Turned,2018,,,,,
no_match,,put-on-your-old-gray-bonnet,,Put on Your Old Gray Bonnet,1929,,,,,
no_match,,valkyrie-drive-mermaid,,Valkyrie Drive: Mermaid,2015,,,,,
no_match,,sock-5-three-skins-without-men,,Sock 5: Three Skins Without Men,2012,,,,,
no_match,,back-in-the-daze,,Back in the Daze,2011,,,,,
no_match,,ss-gb,,SS-GB,2017,,,,,
no_match,,yunyi-frits,,Yunyi Frits,1943,,,,,
no_match,,goodbye-farewell-and-amen-1983,,"Goodbye, Farewell and Amen",1983,,,,,
no_match,,parkway-drive-2015-graspop-metal-meeting,,Parkway Drive: [2015] Graspop Metal Meeting,2015,,,,,
no_match,,31-days-in-marshall-north-carolina,,"31 Days in Marshall, North Carolina",2018,,,,,
no_match,,pride-of-lions,,Pride of Lions,2014,,,,,
no_match,,number-2-part-2,,Number 2... Part 2,2018,,,,,
no_match,,gallagher-stuck-in-the-sixties,,Gallagher: Stuck in the Sixties,1983,,,,,
no_match,,ike-the-war-years,,Ike: The War Years,1980,,,,,
no_match,,stepmom-and-daughter-blues-2020-new-years-special,,Stepmom and Daughter Blues: 2020 New Year's Special,2020,,,,,
no_match,,the-great-war-the-peoples-story,,The Great War: The People's Story,2014,,,,,
no_match,,requiem-for-a-tuesday,,Requiem for a Tuesday,2012,,,,,
no_match,,the-mummy-brendan-fraser-series,,The Mummy: Brendan Fraser Series,,,,,,
no_match,,good-witch-curse-from-a-rose,,The Good Witch: Curse From A Rose,2019,,,,,
no_match,,american-experience-nixon,,American Experience: Nixon,1990,,,,,
no_match,,v-1983,,V,1983,,,,,
no_match,,pulp-at-glastonbury,,Pulp at Glastonbury,1995,,,,,
no_match,,sins-1986,,Sins,1986,,,,,
no_match,,the-blackhawk-dilemma,,The Blackhawk Dilemma,2016,,,,,
no_match,,adventure-time-distant-lands-bmo,,Adventure Time: Distant Lands,2020,,,,,
no_match,,my-thesis-film-a-thesis-film-by-erik-anderson-with-erik-anderson,,"My Thesis Film, A Thesis Film by Erik Anderson, with Erik Anderson",,,,,,
no_match,,in-the-womb,,In The Womb,2005,,,,,
no_match,,ralph-mcquarrie-tribute-to-a-master,,Ralph McQuarrie: Tribute to a Master,2014,,,,,
no_match,,justus-for-justice-loose-cannon-cop,,Justus for Justice: Loose Cannon Cop,,,,,,
no_match,,silver-from-across-the-border,,Silver from Across the Border,1963,,,,,
collision_existing,643786,are-we-dead-yet,1.2503,The Living Dead,2019,The Living Dead,2019,2019-11-07,0.6802,the-living-dead-2019
no_match,,gankutsuou-the-count-of-monte-cristo,,Gankutsuou: The Count of Monte Cristo,2004,,,,,
no_match,,parliament-funkadelic-the-mothership-connection,,Parliament Funkadelic - The Mothership Connection,1976,,,,,
no_match,,serial-experiments-lain-1998,,Serial Experiments Lain,1998,,,,,
no_match,,dream-piece,,Dream Piece,2009,,,,,
no_match,,touched-by-the-hand-of-god,,Touched by the Hand of God,1987,,,,,
no_match,,without-honors,,Without Honors,1932,,,,,
no_match,,j-horror-anthology-underworld,,J-Horror Anthology: Underworld,2005,,,,,
no_match,,dora-the-explorer-dora-saves-the-crystal-kingdom,,Dora the Explorer - Dora Saves the Crystal Kingdom,2009,,,,,
no_match,,ad-astra,,Ad Astra,1982,,,,,
